N,F,B,T,Part1&2,Part3,Part4
128,1,20,1024,0.072606,0.06131,0.001424
128,1,1,1024,0.072449,0.061305,0.001431
128,1,80,1024,0.073218,0.061308,0.001392
128,1,160,1024,0.072656,0.061303,0.00141
4,32768,1,1024,0.554613,0.061384,0.724805
4,32768,20,1024,0.528495,0.061382,0.725113
4,32768,40,1024,0.528099,0.061376,0.724968
128,1,10,1024,0.071777,0.061302,0.001396
4,32768,80,1024,0.530086,0.061367,0.731106
128,1,40,1024,0.073141,0.061302,0.001453
4,32768,10,1024,0.525582,0.061374,0.728047
4,32768,160,1024,0.552008,0.061385,0.727032
